City,Country,City ID,lon,lat,temperature,max temperature,humidity,clouds,windspeed
Meulaboh,ID,1214488,96.1285,4.1363,86.9,86.9,59,51,3.78
Butterworth,MY,1735076,100.3638,5.3991,88.57,91.4,51,20,8.05
Lisala,CD,211734,21.5167,2.15,68.41,68.41,96,100,1.1
Road Town,VG,3577430,-64.6167,18.4167,76.68,77.0,77,0,13.0
Mazamari,PE,3935102,-74.5308,-11.3258,69.66,69.66,96,100,2.53
Vila Franca do Campo,PT,3372472,-25.4333,37.7167,50.11,53.6,71,40,16.11
Provideniya,RU,4031574,-173.3,64.3833,5.0,5.0,85,90,17.9
Hobyo,SO,57000,48.5268,5.3505,78.44,78.44,69,99,17.29
Cidreira,BR,3466165,-50.2056,-30.1811,72.88,72.88,83,100,8.55
Popondetta,PG,2088163,148.2534,-8.7537,88.27,88.27,63,100,5.19
Mayumba,GA,2399001,10.6554,-3.432,78.06,78.06,86,99,2.98
Buchanan,LR,2278158,-10.0467,5.8808,77.63,77.63,88,2,5.1
Margate,GB,2643044,1.3862,51.3813,52.29,53.01,71,100,1.99
Tarcău,RO,665521,26.1333,46.8667,34.0,34.0,27,0,2.89
Yamada,JP,2110560,141.95,39.4667,31.62,31.62,49,7,22.68
Eyl,SO,60019,49.8164,7.9803,76.51,76.51,67,73,15.12
Zhigansk,RU,2012530,123.3711,66.7697,-27.87,-27.87,80,33,1.97
Puerto Escondido,MX,3520994,-97.0667,15.85,78.8,78.8,78,1,8.75
Guigue,VE,3639747,-67.7792,10.0853,71.26,71.26,92,58,2.53
Matara,LK,1235846,80.5353,5.9485,86.7,86.7,58,100,2.04
Lata,PT,2738381,-8.3327,40.1629,50.05,53.01,76,21,1.99
Verkh-Usugli,RU,2013459,115.1667,52.7,8.76,8.76,69,21,8.9
Vila Velha,BR,3445026,-40.2925,-20.3297,76.46,77.0,88,40,6.91
Sulina,RO,665790,29.6536,45.1559,38.35,38.35,87,100,10.4
Caohai,CN,1816028,104.2841,26.8661,61.99,61.99,34,0,12.91
Hofn,IS,2630299,-15.2082,64.2539,40.66,40.66,83,100,11.79
Sarakhs,IR,1159716,61.1577,36.5449,44.6,44.6,61,0,6.91
Vao,NC,2137773,167.4833,-22.6667,79.41,79.41,77,75,15.43
Urucará,BR,3385670,-57.76,-2.5364,74.89,74.89,88,77,2.62
Hay River,CA,5972762,-115.7999,60.8156,-10.28,-9.4,77,100,3.44
Nueva Concepción,GT,3592145,-91.3,14.2,69.73,77.0,78,1,3.33
Tucumcari,US,5495360,-103.725,35.1717,57.2,57.2,24,1,18.41
Vanimo,PG,2084442,141.3028,-2.6741,81.59,81.59,84,100,11.34
Trairi,BR,3386177,-39.2689,-3.2778,76.62,76.62,88,97,4.92
Cascais,PT,2269594,-9.4215,38.6979,51.89,53.01,87,0,3.44
Mackenzie,CA,6063191,-123.1698,55.2999,30.2,30.2,51,20,4.61
Kloulklubed,PW,7671223,134.2556,7.0419,86.0,86.0,70,75,12.66
Airai,TL,1651810,125.4092,-8.9266,67.01,67.01,100,95,2.93
Wewak,PG,2083537,143.6268,-3.5534,79.54,79.54,85,100,15.03
Kamenka,RU,553766,42.7678,51.3223,-21.06,-21.06,85,0,4.99
Champasak,LA,1657818,106.0,14.75,84.2,84.2,48,1,11.5
Nieuw Amsterdam,SR,3383434,-55.0833,5.8833,79.0,79.0,89,21,5.01
Patea,NZ,2206361,174.4833,-39.7583,73.0,73.0,61,0,11.01
Laramie,US,5830062,-105.5911,41.3114,21.72,21.99,42,1,16.11
Petropavlovsk-Kamchatskiy,RU,2122104,158.6483,53.0452,28.4,28.4,59,75,4.47
Torbay,CA,6167817,-52.7314,47.6666,32.79,34.0,100,90,27.63
Cam Ranh,VN,1586350,109.1591,11.9214,82.4,82.4,51,0,12.66
San Juan,AR,3837213,-68.5364,-31.5375,74.5,74.5,35,12,3.02
San Felipe,VE,3628423,-68.7425,10.3399,71.78,71.78,89,99,5.17
Atambua,ID,1651103,124.8925,-9.1061,80.58,80.58,77,72,5.68
Texarkana,US,4736096,-94.0477,33.4251,62.6,62.6,42,1,10.36
Sittwe,MM,1295765,92.9,20.15,79.32,79.32,34,62,5.7
Nanortalik,GL,3421765,-45.2371,60.1432,19.49,19.49,56,83,6.44
Vanino,RU,2119932,140.2543,49.0869,11.43,11.43,69,25,11.7
Santa Isabel,BR,3450188,-46.2214,-23.3156,72.48,75.0,78,0,4.61
Massarosa,IT,6536813,10.3397,43.8676,46.44,50.0,100,20,2.3
Mudgee,AU,2156404,149.5871,-32.5943,74.05,75.0,56,90,8.05
Punto Fijo,VE,3629576,-70.1996,11.6956,77.58,77.58,79,14,24.52
Aleksandrovskoye,RU,582993,43.0008,44.7142,1.4,1.4,78,75,6.71
Galati,RO,677697,28.05,45.45,35.82,36.0,93,90,8.05
Puerto Ayacucho,VE,3629710,-67.6236,5.6639,76.15,76.15,85,74,2.77
Burnie,AU,2173125,145.9167,-41.0667,66.0,66.0,46,4,10.0
Marsh Harbour,BS,3571913,-77.0636,26.5412,71.98,71.98,80,3,12.77
Ginir,ET,336454,40.7,7.1333,63.75,63.75,30,100,2.28
Eirunepé,BR,3664321,-69.8736,-6.6603,74.17,74.17,94,100,1.99
Zaysan,KZ,1517060,84.8667,47.4667,28.02,28.02,89,100,2.21
Mount Isa,AU,2065594,139.5,-20.7333,96.8,96.8,15,0,8.05
Hasaki,JP,2112802,140.8333,35.7333,52.36,55.0,18,20,14.97
Ixtapa,MX,4004293,-105.2,20.7,72.21,73.4,88,1,1.68
Cayenne,GF,3382160,-52.3333,4.9333,75.2,75.2,100,75,10.36
Grand-Santi,GF,3381538,-54.3833,4.25,72.1,72.1,97,97,2.55
Longhua,CN,1802618,114.1919,23.6137,83.35,83.35,41,7,4.18
Bosaso,SO,64013,49.1816,11.2842,75.02,75.02,67,41,5.1
Nichinan,JP,1855476,131.3667,31.6,59.0,59.0,51,20,9.22
Laiwu,CN,1804591,117.6569,36.1928,38.32,38.32,69,100,7.65
Sinjār,IQ,448149,41.8754,36.3209,43.72,43.72,62,0,3.13
Ilhabela,BR,3461425,-45.3581,-23.7781,74.57,74.57,74,1,4.85
Corrales,US,5463237,-106.6067,35.2378,46.53,48.99,33,1,9.22
Santa Cruz,MA,2561668,-9.5982,30.4202,59.0,59.0,77,0,11.5
Tornio,FI,634093,24.1466,65.8481,12.2,12.2,85,90,10.36
San Miguel de Cozumel,MX,3530103,-86.9458,20.5083,77.0,77.0,78,20,6.91
Ishinomaki,JP,2112576,141.3,38.4167,39.2,39.2,38,40,18.41
Kashary,RU,552006,41.0056,49.04,-4.74,-4.74,85,2,5.99
Salta,AR,3838233,-65.4117,-24.7859,69.8,69.8,83,75,9.22
Evensk,RU,2125693,159.2333,61.95,-2.63,-2.63,74,0,6.69
Mungeli,IN,1262484,81.6833,22.0667,87.78,87.78,13,0,3.44
Departamento de Maldonado,UY,3441890,-54.9167,-34.6667,59.0,59.0,94,0,2.3
Bengkulu,ID,1649150,102.2655,-3.8004,85.42,85.42,61,100,9.44
Lithgow,AU,2160053,150.15,-33.4833,55.99,55.99,43,100,7.0
Flinders,AU,6255012,150.8552,-34.5833,70.54,73.0,73,95,3.0
Kuna,US,5597955,-116.4201,43.4918,33.94,35.01,75,90,6.35
Avera,US,4231997,-82.5271,33.194,44.82,46.99,71,1,4.61
Châlette-sur-Loing,FR,3027531,2.7359,48.0134,46.63,48.99,89,0,8.05
Qasigiannguit,GL,3420768,-51.1922,68.8193,15.8,15.8,41,0,10.36
Goundam,ML,2456917,-3.6708,16.4145,67.86,67.86,21,0,10.65
Iqaluit,CA,5983720,-68.5145,63.7506,21.2,21.2,86,90,14.97
Koumac,NC,2140558,164.2833,-20.5667,84.54,84.54,67,44,8.12
Arrondissement de Saint-Denis,FR,2980915,2.3333,48.9167,50.61,52.0,87,0,6.91
La Rioja,ES,3336897,-2.5,42.25,45.82,46.99,100,0,8.05
Qaqortoq,GL,3420846,-46.0333,60.7167,21.2,21.2,49,90,2.3
Carballo,ES,3126369,-8.691,43.213,53.96,55.99,58,76,7.0
Ugoofaaru,MV,1337619,73.0,5.6667,81.86,81.86,67,85,5.66
Ormond Beach,US,4167178,-81.0559,29.2858,55.04,57.0,87,1,2.21
Praia,CV,3374333,-23.5087,14.9215,73.4,73.4,38,0,14.97
Kyra,RU,2021041,111.9753,49.5776,13.78,13.78,57,1,3.15
Salinas,US,5391295,-121.6555,36.6777,53.22,57.2,67,1,3.44
Guerrero Negro,MX,4021858,-114.0611,27.9769,59.97,59.97,61,4,10.31
Novosergiyevka,RU,517982,53.6528,52.0934,-16.78,-16.78,84,100,21.3
Tadine,NC,2138285,167.8833,-21.55,81.48,81.48,73,93,14.32
Kalmunai,LK,1242110,81.8167,7.4167,82.24,82.24,70,100,8.95
Nicoya,CR,3622716,-85.452,10.1483,77.0,77.0,61,0,19.57
Metu,ET,330764,35.5833,8.3,62.22,62.22,72,96,2.13
Malanville,BJ,2392837,3.3899,11.8685,67.15,67.15,12,0,8.21
Sakakah,SA,102527,40.2064,29.9697,48.2,48.2,76,90,17.27
Itoman,JP,1861280,127.6694,26.1247,74.39,75.2,60,20,12.66
Ponta do Sol,PT,2264557,-17.1,32.6667,54.97,59.0,80,6,1.99
Turan,VN,1583992,108.2208,16.0678,80.6,80.6,61,40,4.61
Ambon City,ID,1651531,128.1814,-3.6954,84.2,84.2,70,40,2.3
Mackay,AU,2159220,149.2,-21.15,86.79,88.0,70,40,14.97
Khasan,RU,2039557,130.6434,42.4308,25.99,25.99,78,0,3.89
Samaná,DO,3492997,-69.3369,19.2056,73.58,73.58,80,2,7.4
Amga,RU,2027786,131.9608,60.8953,-12.03,-12.03,84,99,1.86
Hambantota,LK,1244926,81.1185,6.1241,86.0,86.0,66,0,5.75
Yanam,IN,1252795,82.2167,16.7333,84.2,84.2,61,0,5.75
Namanga,KE,184570,36.7905,-2.5433,68.88,68.88,67,100,2.91
Hong Kong,HK,1819729,114.1577,22.2855,65.62,69.01,78,89,3.0
Boguchany,RU,1509844,97.4531,58.3814,-5.64,-5.64,86,24,2.62
Karatau,KZ,1519938,70.4667,43.1667,35.15,35.15,79,98,30.0
Manicoré,BR,3663503,-61.3003,-5.8092,73.45,73.45,89,99,1.81
Sept-Îles,CA,6144312,-66.3821,50.2001,26.76,27.0,93,90,4.61
Cabedelo,BR,3404558,-34.8339,-6.9811,78.8,78.8,89,20,4.61
Caravelas,BR,3466980,-39.2481,-17.7125,75.65,75.65,84,96,5.41
Irtyshskiy,RU,1505495,68.1333,58.3333,-13.67,-13.67,90,100,18.16
Kwang Binh,VN,1582886,106.6,17.4833,74.79,74.79,76,97,10.42
Inhambane,MZ,1045114,35.3833,-23.865,75.2,75.2,94,20,5.75
Zeya,RU,2012593,127.2667,53.75,1.38,1.38,74,73,0.74
Tabuk,PH,1684803,121.4443,17.4189,83.95,83.95,68,40,5.14
Drayton Valley,CA,5942547,-114.9854,53.2168,20.77,20.77,84,55,7.81
Falkensee,DE,2927930,13.0833,52.5667,48.99,48.99,77,39,1.01
Anadyr,RU,2127202,177.4833,64.75,-22.81,-22.0,76,20,15.66
Awjilah,LY,88533,21.2869,29.1081,48.94,48.94,71,0,5.14
Puerto Baquerizo Moreno,EC,3652758,-89.6,-0.9,76.87,76.87,87,10,10.42
Clyde River,CA,5924351,-68.5914,70.4692,-11.2,-11.2,77,75,3.44
Longyearbyen,SJ,2729907,15.6401,78.2186,31.96,31.96,97,100,3.44
Aasiaat,GL,3424901,-52.8699,68.7098,4.14,4.14,87,64,5.57
Clarence Town,AU,2171465,151.7833,-32.5833,71.02,73.0,94,90,9.22
Klaksvík,FO,2618795,-6.589,62.2266,44.6,44.6,93,90,8.05
Belmonte,BR,3470137,-38.8828,-15.8631,75.2,75.2,88,20,2.3
Riyadh,SA,108410,46.7219,24.6877,52.93,53.6,50,40,4.61
Lincoln,US,5072006,-96.667,40.8,43.41,46.4,57,1,10.36
Brekstad,NO,3160100,9.6654,63.687,46.4,46.4,61,0,10.36
Baykit,RU,1510689,96.37,61.67,-10.57,-10.57,82,83,1.59
Kumul,CN,1529484,93.45,42.8,48.18,48.18,47,60,0.09
Chui,UY,3443061,-53.4616,-33.6971,59.25,59.25,73,0,2.24
Constitución,CL,3893726,-72.4167,-35.3333,60.4,60.4,69,0,7.4
Orange Walk District,BZ,3581511,-88.8333,17.8333,73.0,73.0,70,2,1.61
Uvat,RU,1487939,68.8953,59.1433,-19.28,-19.28,85,100,13.24
Casablanca,MA,2553604,-7.6192,33.5928,43.68,46.4,87,0,5.75
Praia da Vitória,PT,3372760,-27.0667,38.7333,47.7,48.2,81,40,20.24
Tsabong,BW,932987,22.401,-26.0217,68.4,68.4,86,90,13.49
Eureka,US,5563397,-124.1637,40.8021,45.43,48.0,81,0,7.0
Angoche,MZ,1052944,39.9086,-16.2325,79.63,79.63,82,54,3.89
Narendranagar,IN,1261806,78.3,30.1667,73.36,73.36,22,0,2.17
Narsaq,GL,3421719,-46.05,60.9167,21.2,21.2,49,90,2.3
Krasnyy Chikoy,RU,2012349,108.7512,50.3643,15.53,15.53,79,61,1.19
Kodinsk,RU,1503037,99.1844,58.6881,-6.81,-6.81,86,54,2.71
Oistins,BB,3373652,-59.5333,13.0667,78.8,78.8,65,40,19.57
Kananga,CD,214481,22.4178,-5.8958,66.78,66.78,94,100,1.03
Bathsheba,BB,3374083,-59.5167,13.2167,78.8,78.8,65,40,19.57
Waterloo,CA,6176823,-80.5164,43.4668,32.52,33.8,80,20,4.61
Villa Tecolutilla,MX,3516149,-93.3167,18.2833,72.16,72.16,91,14,9.42
Troitskoye,RU,1489209,84.6757,52.9821,20.25,20.25,94,100,9.53
Luís Correia,BR,3396121,-41.6669,-2.8792,76.68,76.68,88,100,7.38
Culebra,PR,4564070,-65.301,18.303,75.58,77.0,61,1,6.91
Impfondo,CG,2259655,18.0667,1.6381,68.67,68.67,98,98,1.83
Vinh,VN,1562798,105.6667,18.6667,76.3,76.3,63,46,7.74
Yagodnoye,RU,2119626,149.6667,62.55,-15.43,-15.43,81,33,1.25
Sobolevo,RU,525426,31.8996,54.4299,12.58,12.58,96,100,11.21
Araguaína,BR,3407357,-48.2072,-7.1911,72.91,72.91,93,65,2.28
Volodarskiy,RU,472490,48.5409,46.4013,-7.29,-7.01,71,0,13.42
Kailua,US,5847486,-157.7394,21.4022,75.4,78.8,65,90,11.5
Province of Palermo,IT,2523918,13.5833,37.8167,50.36,53.01,74,0,2.59
Linqiong,CN,1803365,103.4609,30.4159,64.4,64.4,68,40,4.47
Makaha,US,5850511,-158.2175,21.4694,76.66,78.8,73,75,6.91
Okha,RU,2122614,142.9478,53.5739,17.83,17.83,97,100,22.26
Jiexiu,CN,1805833,111.9125,37.0244,43.66,43.66,54,100,3.2
Nantucket,US,4944903,-70.0995,41.2835,37.22,37.4,87,1,17.27
Nizhnevartovsk,RU,1497543,76.5531,60.9344,-25.6,-25.6,68,0,6.71
Okhotsk,RU,2122605,143.3,59.3833,7.92,7.92,87,51,11.79
Srandakan,ID,1626493,110.2506,-7.9386,80.46,80.46,79,100,14.09
Plainview,US,5131638,-73.4673,40.7765,42.31,44.6,57,75,9.22
Ziyang,CN,1790863,117.8547,29.2497,70.56,70.56,50,0,5.64
Churapcha,RU,2025241,132.4325,62.0025,-18.06,-18.06,86,90,3.0
Christchurch,NZ,2192362,172.6333,-43.5333,82.4,82.4,36,62,19.57
Malakal,SS,370737,31.6605,9.5334,74.55,74.55,18,2,12.21
Mandalgovi,MN,2030065,106.2708,45.7625,28.45,28.45,74,0,9.48
Santiago,CL,3871336,-70.6483,-33.4569,68.74,70.0,42,47,5.75
Zykovo,RU,1484923,93.1461,55.9519,-11.2,-11.2,77,0,4.47
Khovd,MN,1516048,91.6419,48.0056,29.91,29.91,71,13,3.49
Kahului,US,5847411,-156.47,20.8947,70.54,75.2,60,40,21.85
Ambilobe,MG,1082243,49.05,-13.2,75.15,75.15,89,98,1.97
Zhezkazgan,KZ,1516589,67.7144,47.8043,-11.2,-11.2,77,75,26.84
Amnat Charoen,TH,1906689,104.75,15.9167,92.97,92.97,25,99,9.57
Honningsvåg,NO,779554,25.9704,70.9821,26.6,26.6,86,75,27.63
Xinxiang,CN,1788572,113.8672,35.3089,43.72,43.72,57,100,10.78
Gucheng,CN,1809597,111.3192,35.9115,36.05,36.05,82,100,9.24
Palmer,US,4946620,-72.3287,42.1584,38.62,41.0,70,90,14.97
Mocuba,MZ,1024312,36.9856,-16.8392,74.66,74.66,97,100,4.74
Robertson,US,4653638,-86.8667,36.5167,48.51,50.0,50,20,6.91
Ambanja,MG,1083724,48.45,-13.6833,80.6,80.6,87,75,2.3
Udachny,RU,2014624,112.4,66.4167,-27.18,-27.18,79,10,3.44
Beira,MZ,1052373,34.8389,-19.8436,80.6,80.6,78,40,8.05
Aitape,PG,2101169,142.3475,-3.1374,79.83,79.83,87,100,10.54
Yangi Marg`ilon,UZ,1513491,71.7189,40.4272,44.6,44.6,61,75,16.11
Jinchang,CN,1805733,102.1739,38.4953,42.28,42.28,56,26,6.11
Singapore,SG,1880252,103.8501,1.2897,85.86,87.8,58,75,9.22
Shache,CN,1280037,77.2406,38.4167,46.06,46.06,53,54,4.52
Sahuaripa,MX,3988265,-109.2333,29.05,62.44,62.44,29,0,5.28
Pilar,BR,3392126,-35.9567,-9.5972,75.2,75.2,94,40,3.44
Butembo,CD,217562,29.2833,0.15,59.83,59.83,89,96,1.92
Asău,RO,686090,26.4,46.4333,30.0,30.0,68,0,3.09
Poshekhon'ye,RU,506029,39.1353,58.4993,-5.33,-5.33,87,87,8.43
Kabo,CF,2386042,18.629,7.6994,68.47,68.47,26,69,4.12
Myitkyina,MM,1307741,97.4,25.3833,84.07,84.07,26,29,3.47
Priiskovyy,RU,2017632,116.6333,51.9333,4.93,4.93,82,88,6.53
Amuntai,ID,1651461,115.2494,-2.4177,84.06,84.06,82,100,2.19
Vitim,RU,2013375,112.5578,59.4511,0.28,0.28,87,100,3.56
Aklavik,CA,5882953,-135.0107,68.2191,-19.07,-14.8,84,5,2.3
Nizwá,OM,286987,57.5333,22.9333,78.12,78.12,24,0,1.36
Buraidah,SA,107304,43.975,26.326,48.2,48.2,100,0,6.91
Forestville,US,4355274,-76.875,38.8451,38.82,44.6,49,1,4.61
Hudiksvall,SE,2704613,17.1036,61.729,36.0,36.0,98,100,7.56
Guantánamo,CU,3557689,-75.2092,20.1444,78.8,78.8,83,40,5.75
Beringovskiy,RU,2126710,179.3167,63.05,-13.63,-13.63,89,99,18.1
Dalvik,IS,2632287,-18.5286,65.9702,32.0,32.0,100,90,3.44
Port Blair,IN,1259385,92.75,11.6667,82.4,82.4,78,20,5.75
Waipawa,NZ,2206874,175.5153,-41.4122,68.61,70.0,60,40,19.57
Souris,CA,6151456,-100.2612,49.6172,17.62,21.0,92,75,4.61
Morden,CA,6078447,-98.1014,49.1919,21.2,21.2,68,58,8.05
Port Augusta,AU,2063056,137.7667,-32.5,74.84,75.99,37,82,13.8
Whitehorse,CA,6180550,-135.0538,60.7161,9.55,10.4,85,20,3.96
Zliten,LY,2208485,14.5687,32.4674,55.47,55.47,78,8,7.25
Le Port,RE,935616,55.2919,-20.9373,74.26,82.4,65,40,16.11
Kudymkar,RU,539817,54.656,59.0173,-22.76,-22.76,86,1,7.09
Shimoda,JP,1852357,138.95,34.6667,45.95,50.0,46,75,9.22
Taquaritinga,BR,3446753,-48.5047,-21.4061,71.85,71.85,77,0,5.32
Tocopilla,CL,3869716,-70.1979,-22.092,66.13,66.13,66,42,1.83
Katherine,AU,2068655,132.2667,-14.4667,80.6,80.6,83,90,10.36
Rundu,NA,3353383,19.7667,-17.9333,64.18,64.18,96,100,2.84
Boddam,GB,2655288,-1.7833,57.4667,48.74,48.99,81,100,14.97
Methóni,GR,257122,21.7049,36.8197,44.46,51.01,93,0,5.01
Suez,EG,359796,32.5263,29.9737,57.45,57.45,62,55,16.4
San Cristobal,VE,3628473,-72.225,7.7669,66.7,66.7,73,33,1.68
Jagüey Grande,CU,3556437,-81.1286,22.5269,73.4,73.4,88,40,3.44
Horasan,TR,745527,42.1728,40.0458,13.69,13.69,91,50,0.87
Zhireken,RU,2012510,117.3076,52.8249,3.96,3.96,88,99,6.42
Kushiro,JP,2129376,144.3747,42.975,24.8,24.8,63,75,12.66
Geesthacht,DE,2922102,10.3667,53.4333,47.16,50.0,78,100,1.99
Aktau,KZ,610612,51.2,43.65,3.2,3.2,78,40,24.61
Correntina,BR,3465373,-44.6367,-13.3433,70.07,70.07,87,98,1.97
Banska Bystrica,SK,3343954,19.5,48.5,42.53,42.53,70,0,4.92
Srinagar,IN,1255634,74.8167,34.0833,50.97,50.97,52,81,1.52
Banjar,ID,1650232,114.9675,-8.19,86.0,86.0,74,20,6.91
Kyren,RU,2021031,102.1408,51.6828,17.19,17.19,68,29,0.81
São João da Barra,BR,3448903,-41.0511,-21.6403,74.39,74.39,90,0,4.56
Zhuhai,CN,1790437,113.5678,22.2769,74.59,79.0,68,20,5.75
Forio,IT,3176748,13.8646,40.7342,48.97,52.0,93,0,1.14
Codrington,AU,2171099,141.9667,-38.2667,63.73,63.73,50,45,13.62
Beckley,US,4798308,-81.1882,37.7782,32.31,35.01,69,1,4.05
Ardahan,TR,751952,42.7022,41.1087,12.29,12.29,95,97,2.57
Kirensk,RU,2022083,108.1119,57.7853,1.78,1.78,89,100,6.73
Bandarbeyla,SO,64814,50.8122,9.4942,76.3,76.3,68,24,13.53
Irbeyskoye,RU,1505529,95.4522,55.6428,-1.3,-1.3,90,83,4.0
Dzaoudzi,YT,921900,45.2699,-12.7887,80.6,80.6,83,40,6.91
Brownsville,US,4676740,-97.4975,25.9018,68.4,69.01,88,75,11.5
